what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250718754968
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250718754968
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250718754968
os,sysinfo,,,"win32",1250718754984
arch,sysinfo,,,"x86",1250718754984
ws,sysinfo,,,"win32",1250718754984
locale,sysinfo,,,"en_US",1250718754984
processors,sysinfo,,,"2",1250718754984
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250718754984
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1250718754984
java.specification.name,sysinfo,,,"Java Platform API Specification",1250718754984
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250718754984
java.specification.version,sysinfo,,,"1.6",1250718754984
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250718754984
java.version,sysinfo,,,"1.6.0_14",1250718754984
java.vm.info,sysinfo,,,"mixed mode, sharing",1250718754984
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250718754984
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250718754984
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250718754984
java.vm.specification.version,sysinfo,,,"1.0",1250718754984
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250718754984
java.vm.version,sysinfo,,,"14.0-b16",1250718754984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250718759484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250718761890
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1250718765609
